@ NAME             %06s "SURVEY"
@ TYPE             %06s "SURVEY"
@ TITLE            %03s "TLe"
@ ORIGIN           %16s "5.03.04 Linux 64"
@ DATE             %08s "05/06/17"
@ TIME             %08s "10.49.27"
* NAME               KEYWORD                             S                  L              ANGLE                  X                  Y                  Z              THETA                PHI                PSI         GLOBALTILT    SLOT_ID ASSEMBLY_ID           MECH_SEP              V_POS 
$ %s                 %s                                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le         %d         %d                %le                %le 
 "DVRTT001B"         "SBEND"                        43.7074              0.175      0.09571987575       -11.48361107       0.8244152012        17.10505695        2.504692478       0.7221690223       -1.156404647        0.332992607          0          0                  0                  0
 "KER1"              "KICKER"                       43.7074                  0                  0       -11.48361107       0.8244152012        17.10505695        2.504692478       0.7221690223       -1.156404647       -1.156404647          0          0                  0                  0
 "D23A"              "DRIFT"                        44.3584              0.651                  0       -11.11533299       0.8818517459        16.60720672        2.504692478       0.7221690223       -1.156404647       -1.156404647          0          0                  0                  0
 "D23B"              "DRIFT"                        44.6144              0.256                  0       -10.97051088       0.9044381598        16.41143152        2.504692478       0.7221690223       -1.156404647       -1.156404647          0          0                  0                  0
 "QUATT009"          "QUADRUPOLE"                   44.7144                0.1                  0       -10.91393975       0.9132609777        16.33495683        2.504692478       0.7221690223       -1.156404647       -1.156404647          0          0                  0                  0
 "QUATT009"          "QUADRUPOLE"                   44.8144                0.1                  0       -10.85736861       0.9220837956        16.25848214        2.504692478       0.7221690223       -1.156404647       -1.156404647          0          0                  0                  0
 "BPSTT007"          "MARKER"                       44.8144                  0                  0       -10.85736861       0.9220837956        16.25848214        2.504692478       0.7221690223       -1.156404647       -1.156404647          0          0                  0                  0
 "DVRTT002A"         "SBEND"                        44.9894              0.175     -0.09551083057       -10.76140135       0.9378370184        16.12875049        2.504692478       0.7570958307       -1.237617029       0.4143916798          0          0                  0                  0
 "ROLL1"             "SROTATION"                    44.9894                  0                  0       -10.76140135       0.9378370184        16.12875049        2.504692478       0.7570958307       0.3331792978       0.3331792978          0          0                  0                  0
 "DVRTT002YR"        "YROTATION"                    44.9894                  0                  0       -10.76140135       0.9378370184        16.12875049        2.504692478       0.7571280744       0.3332016522       0.3331792978          0          0                  0                  0
 "ROLL2"             "SROTATION"                    44.9894                  0                  0       -10.76140135       0.9378370184        16.12875049        2.504692478       0.7571280744       -1.237594675       -1.237594675          0          0                  0                  0
 "DVRTT001B"         "SBEND"                        45.1644              0.175      0.09571987575       -10.66542745       0.9535895553        15.99900987        2.504692478       0.7221148914       -1.156209438       0.3332016522          0          0                  0                  0
 "KER2"              "KICKER"                       45.1644                  0                  0       -10.66542745       0.9535895553        15.99900987        2.504692478       0.7221148914       -1.156209438       -1.156209438          0          0                  0                  0
 "D25A"              "DRIFT"                        46.5824              1.418                  0       -9.863146489        1.078685157        14.91446052        2.504692478       0.7221148914       -1.156209438       -1.156209438          0          0                  0                  0
 "CHVTT009"          "KICKER"                       46.5824                  0                  0       -9.863146489        1.078685157        14.91446052        2.504692478       0.7221148914       -1.156209438       -1.156209438          0          0                  0                  0
 "D25B"              "DRIFT"                        46.8769             0.2945                  0       -9.696523258        1.104665873        14.68921384        2.504692478       0.7221148914       -1.156209438       -1.156209438          0          0                  0                  0
 "BPSTT008"          "MARKER"                       46.8769                  0                  0       -9.696523258        1.104665873        14.68921384        2.504692478       0.7221148914       -1.156209438       -1.156209438          0          0                  0                  0
